image_name,label,xmin,ymin,xmax,ymax
000305.jpg,0,319,74,393,135
000306.jpg,0,425,116,508,179
000307.jpg,0,57,88,594,308
000308.jpg,0,337,189,395,236
000309.jpg,0,222,161,294,232
000310.jpg,0,269,193,417,289
000311.jpg,0,84,107,649,430
000312.jpg,0,129,109,540,441
000313.jpg,0,367,139,440,180
000314.jpg,0,85,39,638,344
000315.jpg,0,212,38,619,345
000316.jpg,0,349,61,625,270
000317.jpg,0,198,90,584,360
000318.jpg,0,255,115,505,267
000319.jpg,0,186,72,613,306
000320.jpg,0,339,122,477,189
000321.jpg,1,75,119,200,231
000322.jpg,1,143,110,282,221
000323.jpg,0,102,108,580,426
000324.jpg,0,78,83,528,395
000325.jpg,0,215,51,333,147
000326.jpg,0,385,155,489,264
000327.jpg,0,348,103,413,135
000328.jpg,0,354,170,451,287
000329.jpg,0,436,159,522,295
000330.jpg,0,354,98,435,138
000331.jpg,0,341,240,388,260
000332.jpg,0,215,280,266,319
000333.jpg,0,239,95,420,211
000334.jpg,0,235,139,321,219
000335.jpg,0,200,104,344,164
000336.jpg,0,170,73,354,185
000337.jpg,0,213,66,393,178
000338.jpg,0,165,81,265,142
000339.jpg,0,302,149,543,295
000340.jpg,0,274,116,488,273
000341.jpg,0,151,87,640,335
000342.jpg,0,412,247,471,296
000343.jpg,0,353,99,464,169
000344.jpg,0,331,127,519,242
000345.jpg,0,283,259,433,348
000346.jpg,0,369,147,446,221
000347.jpg,0,489,127,577,213
000348.jpg,0,155,79,588,418
000349.jpg,0,241,117,650,386
000350.jpg,0,203,105,619,427
000351.jpg,0,332,140,631,374
000352.jpg,1,131,105,277,237
000353.jpg,0,240,210,390,355
000354.jpg,1,164,99,314,230
000355.jpg,1,277,53,484,249
000356.jpg,0,427,115,491,163
000357.jpg,0,365,211,538,386
000358.jpg,0,245,193,434,379
000359.jpg,0,354,260,388,299
000360.jpg,0,224,126,587,333
000361.jpg,0,277,130,519,264
000362.jpg,0,283,106,437,229
000363.jpg,0,90,86,635,391
000364.jpg,0,129,105,522,423
000365.jpg,0,371,191,411,209
000366.jpg,0,500,188,569,252
000367.jpg,0,208,87,317,195
000368.jpg,0,177,87,206,112
000369.jpg,0,218,95,319,154
000370.jpg,0,356,90,400,122
000371.jpg,0,192,127,374,258
000372.jpg,0,205,122,372,243
000373.jpg,0,290,279,397,350
000374.jpg,0,429,181,522,259
000375.jpg,0,311,207,380,278
000376.jpg,0,360,167,466,232
000377.jpg,0,140,63,630,327
000378.jpg,0,128,61,561,323
000379.jpg,0,189,192,225,238
000380.jpg,0,372,359,389,389
000381.jpg,0,537,220,651,359
000382.jpg,0,490,234,614,368
000383.jpg,0,330,110,390,151
000384.jpg,0,338,190,460,284
000385.jpg,0,108,159,202,234
000386.jpg,1,58,101,206,227
000387.jpg,0,109,81,307,208
000388.jpg,0,153,91,205,120
000389.jpg,0,171,77,253,147
000390.jpg,0,285,84,425,162
000391.jpg,0,211,96,645,521
000392.jpg,0,386,148,493,210
000393.jpg,0,470,201,554,250
000394.jpg,0,421,176,663,345
000395.jpg,0,403,206,529,373
000396.jpg,0,390,169,629,332
000397.jpg,0,248,156,316,194
000398.jpg,0,345,170,510,282
000399.jpg,0,233,180,386,290
000400.jpg,0,393,95,446,151
000401.jpg,0,311,79,394,140
000402.jpg,0,212,98,364,177
000403.jpg,0,82,133,546,338
000404.jpg,0,138,118,533,332
000405.jpg,0,182,62,337,171
000406.jpg,0,313,66,543,236
000407.jpg,0,451,58,593,146
000408.jpg,0,207,106,402,227
000409.jpg,0,220,167,279,211
000410.jpg,0,235,217,303,265
000411.jpg,1,178,125,323,251
000412.jpg,1,191,80,348,245
000413.jpg,0,351,60,514,136
000414.jpg,0,296,148,473,239
000415.jpg,0,436,150,530,207
000416.jpg,1,168,114,352,243
000417.jpg,0,145,139,627,385
000418.jpg,0,36,143,400,349
000419.jpg,0,123,158,239,254
000420.jpg,0,273,130,297,162
000421.jpg,0,365,98,388,130
000422.jpg,0,608,193,638,223
000423.jpg,0,347,159,429,228
000424.jpg,0,428,161,499,231
000425.jpg,0,482,81,519,119
000426.jpg,0,280,158,501,248
000427.jpg,0,232,108,606,357
000428.jpg,0,192,261,259,313
000429.jpg,0,302,126,465,252
000430.jpg,0,475,237,546,282
000431.jpg,0,263,106,366,155
000432.jpg,0,281,162,324,216
000433.jpg,0,435,172,480,211
000434.jpg,0,511,93,662,203
000435.jpg,0,290,161,482,282
000436.jpg,0,325,116,399,169
000437.jpg,0,168,189,357,391
000438.jpg,0,224,220,433,423
000439.jpg,0,253,113,541,268
000440.jpg,0,104,105,767,435
000441.jpg,0,297,125,570,245
000442.jpg,0,284,114,314,152
000443.jpg,0,514,171,661,308
000444.jpg,0,316,147,458,276
000445.jpg,0,139,163,216,228
000446.jpg,0,347,103,421,151
000447.jpg,0,104,81,233,194
000448.jpg,0,307,215,352,267
000449.jpg,0,260,224,301,292
000450.jpg,0,403,91,454,133
000451.jpg,0,276,141,429,236
000452.jpg,0,244,192,309,239
000453.jpg,0,350,188,404,230
000454.jpg,0,268,116,314,145
000455.jpg,0,352,66,494,164
000456.jpg,0,179,169,297,259
000457.jpg,0,131,178,203,231
000458.jpg,0,225,141,366,214
000459.jpg,0,179,93,212,115
000460.jpg,0,223,123,354,188
000461.jpg,0,195,119,325,188
000462.jpg,0,315,168,386,218
000463.jpg,0,245,175,293,227
000464.jpg,1,229,130,402,264
000465.jpg,0,490,67,610,129
000466.jpg,0,263,147,341,210
000467.jpg,0,80,107,445,346
000468.jpg,0,90,58,433,335
000469.jpg,0,411,240,507,305
000470.jpg,0,381,122,544,224
000471.jpg,0,356,172,539,312
000472.jpg,0,385,182,559,320
000473.jpg,0,130,159,338,289
000474.jpg,0,138,112,229,187
000475.jpg,0,289,183,333,219
000476.jpg,0,503,134,550,186
000477.jpg,0,243,195,269,228
000478.jpg,0,390,126,426,167
000479.jpg,0,332,131,373,171
000480.jpg,0,220,168,284,230
000481.jpg,0,416,197,492,275
000482.jpg,1,273,60,441,197
000483.jpg,1,271,67,452,210
000484.jpg,0,196,87,247,129
000485.jpg,0,145,153,282,246
000486.jpg,0,305,82,341,109
000487.jpg,0,289,118,334,162
000488.jpg,0,468,123,501,150
000489.jpg,0,500,146,556,186
000490.jpg,0,346,194,436,238
000491.jpg,0,306,248,358,291
000492.jpg,1,272,56,449,195
000493.jpg,0,390,214,531,320
000494.jpg,0,387,218,524,322
000495.jpg,0,536,217,627,271
000496.jpg,0,52,47,463,269
000497.jpg,0,478,138,648,258
000498.jpg,1,284,51,447,189
000499.jpg,0,215,172,259,211
000500.jpg,1,231,57,410,198
000501.jpg,0,250,86,598,326
000502.jpg,0,216,93,570,336
000503.jpg,0,204,79,567,337
000504.jpg,0,424,118,492,158
000505.jpg,0,155,238,249,308
000506.jpg,0,306,195,473,309
000507.jpg,0,259,186,305,230
000508.jpg,0,289,135,352,191
000509.jpg,0,187,93,582,328
000510.jpg,0,251,121,272,150
000511.jpg,0,236,158,259,192
000512.jpg,1,178,53,404,203
000513.jpg,1,227,60,394,212
000514.jpg,0,342,127,454,184
000515.jpg,0,281,109,337,154
000516.jpg,0,358,164,413,207
000517.jpg,0,260,188,312,223
000518.jpg,0,271,111,357,171
000519.jpg,0,253,188,361,271
000520.jpg,1,210,184,403,314
000521.jpg,0,346,174,495,296
000522.jpg,0,365,176,510,284
000523.jpg,0,280,169,401,277
000524.jpg,0,239,127,416,227
000525.jpg,0,421,168,465,210
000526.jpg,1,311,196,441,318
000527.jpg,0,484,235,517,275
000528.jpg,0,134,78,309,149
000529.jpg,0,301,288,395,328
000530.jpg,0,416,270,450,308
000531.jpg,0,311,68,342,103
000532.jpg,0,411,206,581,328
000533.jpg,0,337,180,394,226
000534.jpg,0,402,275,499,362
000535.jpg,0,145,170,295,286
000536.jpg,0,425,130,525,199
000537.jpg,0,197,106,316,215
000538.jpg,0,272,140,308,178
000539.jpg,1,410,187,579,297
000540.jpg,0,137,156,570,410
000541.jpg,0,453,264,546,303
000542.jpg,0,191,245,233,279
000543.jpg,0,225,97,301,143
000544.jpg,0,381,224,436,271
000545.jpg,0,251,200,301,238
000546.jpg,0,299,148,377,204
000547.jpg,0,373,105,581,227
000548.jpg,0,313,191,402,250
000549.jpg,0,474,219,504,248
000550.jpg,0,500,99,581,137
000551.jpg,0,133,72,296,154
000552.jpg,0,411,125,458,163
000553.jpg,0,514,154,628,234
000554.jpg,0,338,223,397,251
000555.jpg,0,260,182,299,215
000556.jpg,0,344,160,399,200
000557.jpg,0,370,113,448,171
000558.jpg,0,299,129,386,174
000559.jpg,0,123,99,313,179
000560.jpg,0,167,95,333,188
000561.jpg,0,340,105,376,140
000562.jpg,0,388,126,425,159
000563.jpg,1,309,57,393,140
000564.jpg,1,323,182,406,278
000565.jpg,0,103,196,303,306
000566.jpg,0,323,129,362,166
000567.jpg,0,219,137,259,159
000568.jpg,0,220,60,397,167
000569.jpg,0,217,57,373,127
000570.jpg,0,83,130,143,171
000571.jpg,0,189,62,551,335
000572.jpg,0,74,123,212,302
000573.jpg,0,223,65,527,317
000574.jpg,0,428,93,603,203
000575.jpg,0,334,125,385,159
000576.jpg,0,382,155,417,210
000577.jpg,0,288,98,526,226
000578.jpg,0,197,146,279,186
000579.jpg,0,197,129,253,167
000580.jpg,0,143,106,578,345
000581.jpg,0,150,121,200,170
000582.jpg,0,311,142,353,187
000583.jpg,0,273,112,312,159
000584.jpg,0,262,113,297,146
000585.jpg,0,259,82,306,119
000586.jpg,0,409,89,468,142
000587.jpg,0,235,135,287,178
000588.jpg,0,261,131,497,234
000589.jpg,0,345,90,404,126
000590.jpg,0,346,109,396,133
000591.jpg,0,327,78,472,183
000592.jpg,0,448,330,539,393
000593.jpg,0,257,126,360,190
000594.jpg,0,353,166,470,306
000595.jpg,0,275,193,328,235
000596.jpg,0,295,119,350,164
000597.jpg,0,342,95,424,148
000598.jpg,0,168,123,220,166
000599.jpg,0,374,167,593,294
000600.jpg,0,318,101,378,124
000601.jpg,0,249,217,330,272
000602.jpg,0,511,163,639,294
000603.jpg,0,381,118,589,256
000604.jpg,0,265,159,325,214
000605.jpg,0,288,158,357,215
000606.jpg,0,434,143,497,202
000607.jpg,0,316,86,361,142
000608.jpg,0,300,105,332,134
000609.jpg,0,341,133,381,159
000610.jpg,0,259,138,320,176
000611.jpg,0,448,212,485,243
000612.jpg,0,394,53,497,114
000613.jpg,0,295,39,404,109
000614.jpg,0,245,45,381,102
000615.jpg,0,197,117,272,148
000616.jpg,0,240,204,350,327
000617.jpg,0,373,159,489,226
000618.jpg,1,185,139,271,224
000619.jpg,1,157,143,245,227
000620.jpg,1,174,154,261,243
000621.jpg,0,442,362,605,526
000622.jpg,0,442,322,624,492
000623.jpg,0,424,336,584,505
000624.jpg,0,357,173,668,443
000625.jpg,0,211,126,608,413
000626.jpg,0,381,325,551,495
000627.jpg,1,268,146,392,260
000628.jpg,0,404,177,500,225
000629.jpg,1,535,140,639,199
000630.jpg,0,469,186,544,242
000631.jpg,0,551,174,729,308
000632.jpg,0,172,49,450,286
000633.jpg,0,280,167,402,252
000634.jpg,0,185,30,502,246
000635.jpg,0,276,72,386,183
000636.jpg,0,281,66,607,333
000637.jpg,0,287,58,422,172
000638.jpg,0,224,155,588,401
000639.jpg,0,328,133,412,186
000640.jpg,0,473,152,535,194
000641.jpg,0,317,147,362,192
000642.jpg,0,304,164,546,339
000643.jpg,0,201,150,268,201
000644.jpg,0,234,160,299,206
000645.jpg,0,207,139,321,248
000646.jpg,1,495,145,576,199
000647.jpg,1,167,59,490,271
000648.jpg,0,203,81,404,179
000649.jpg,0,372,118,502,203
000650.jpg,0,199,211,277,312
000651.jpg,0,321,236,476,328
000652.jpg,0,311,170,454,279
000653.jpg,0,287,171,454,291
000654.jpg,0,369,180,478,320
000655.jpg,0,330,29,528,161
000656.jpg,0,434,195,473,242
000657.jpg,0,330,89,438,182
000658.jpg,0,410,107,489,180
000659.jpg,0,299,110,410,178
000660.jpg,0,504,271,550,319
000661.jpg,0,95,101,541,389
000662.jpg,0,166,129,246,185
000663.jpg,0,78,41,331,269
000664.jpg,0,300,135,361,168
000665.jpg,0,295,109,333,152
000666.jpg,1,337,89,514,238
000667.jpg,1,203,79,546,326
000668.jpg,1,179,177,355,321
000669.jpg,0,378,111,493,184
000670.jpg,0,132,43,306,125
000671.jpg,0,342,84,384,133
000672.jpg,0,135,216,286,276
000673.jpg,0,110,157,178,235
000674.jpg,0,279,153,517,367
000675.jpg,0,265,135,353,192
000676.jpg,0,409,184,453,231
000677.jpg,0,281,188,337,238
000678.jpg,0,237,166,273,200
000679.jpg,1,382,115,476,200
000680.jpg,1,273,288,402,389
000681.jpg,1,364,151,417,226
000682.jpg,1,493,154,539,215
000683.jpg,1,230,169,420,314
000684.jpg,1,449,133,539,223
000685.jpg,1,179,53,344,210
000686.jpg,1,342,111,472,183
000687.jpg,1,357,45,559,187
000688.jpg,1,396,53,569,183
000689.jpg,1,333,53,501,199
000690.jpg,1,292,130,428,232
000691.jpg,1,231,69,344,160
000692.jpg,1,326,91,420,171
000693.jpg,1,296,109,392,222
000694.jpg,1,316,142,433,208
000695.jpg,1,311,118,475,214
000696.jpg,1,336,47,497,186
000697.jpg,1,347,136,418,217
000698.jpg,1,294,78,467,197
000699.jpg,1,363,231,434,305
000700.jpg,1,388,107,494,243
000701.jpg,1,266,119,328,193
000702.jpg,1,181,239,268,369
000703.jpg,1,317,111,385,219
000704.jpg,1,284,122,345,203
000705.jpg,1,348,170,434,255
000706.jpg,1,249,217,351,323
000707.jpg,1,301,66,482,155
000708.jpg,1,133,70,297,178
000709.jpg,1,382,83,559,204
000710.jpg,1,128,42,289,154
000711.jpg,1,150,58,379,194
000712.jpg,1,146,51,365,196
000713.jpg,1,168,152,225,223
000714.jpg,1,357,126,416,204
000715.jpg,1,403,120,491,205
000716.jpg,1,296,115,390,210
000717.jpg,1,102,146,240,260
000718.jpg,1,210,123,342,230
000719.jpg,1,258,90,342,170
000720.jpg,1,380,240,461,327
000721.jpg,1,255,61,396,194
000722.jpg,1,263,58,400,162
000723.jpg,1,279,94,401,202
000724.jpg,1,313,81,586,203
000725.jpg,1,264,89,369,182
000726.jpg,1,319,137,392,214
000727.jpg,1,367,65,545,250
000728.jpg,1,129,121,452,353
000729.jpg,1,183,105,540,357
000730.jpg,1,264,103,608,367
000731.jpg,1,322,207,474,369
000732.jpg,1,236,99,414,271
000733.jpg,1,370,31,565,197
000734.jpg,1,143,90,206,146
000735.jpg,1,152,114,195,148
000736.jpg,1,340,61,464,202
000737.jpg,1,301,83,405,196
000738.jpg,1,220,186,301,283
000739.jpg,1,364,142,452,251
000740.jpg,1,253,119,358,214
000741.jpg,1,219,114,332,212
000742.jpg,1,319,33,368,109
000743.jpg,1,224,105,319,184
000744.jpg,1,282,101,321,146
000745.jpg,1,376,87,477,185
000746.jpg,1,349,183,410,262
000747.jpg,1,211,67,602,337
000748.jpg,1,216,74,300,160
000749.jpg,1,331,224,421,320
000750.jpg,1,158,39,468,248
000751.jpg,1,357,164,431,294
000752.jpg,1,288,140,372,210
000753.jpg,1,279,139,361,218
000754.jpg,1,401,170,453,218
000755.jpg,1,363,208,435,274
000756.jpg,1,154,178,212,279
000757.jpg,1,424,254,495,347
000758.jpg,1,341,99,428,204
000759.jpg,1,460,86,564,171
000760.jpg,1,465,85,558,164
000761.jpg,1,424,210,513,307
000762.jpg,1,309,161,366,219
000763.jpg,1,385,184,517,309
000764.jpg,1,271,109,543,339
000765.jpg,1,259,101,562,284
000766.jpg,1,252,71,497,283
000767.jpg,1,366,82,453,191
000768.jpg,1,292,82,380,179
000769.jpg,1,347,83,411,159
000770.jpg,1,298,111,484,288
000771.jpg,1,293,77,413,187
000772.jpg,1,269,71,412,196
000773.jpg,1,292,77,428,195
000774.jpg,1,307,74,428,191
000775.jpg,1,375,117,544,301
000776.jpg,1,414,72,553,186
000777.jpg,1,430,247,560,373
000778.jpg,1,434,239,582,377
000779.jpg,1,306,234,415,324
000780.jpg,1,213,131,293,192
000781.jpg,1,291,119,364,188
000782.jpg,1,277,69,368,137
000783.jpg,1,319,91,390,159
000784.jpg,1,350,95,513,220
000785.jpg,1,388,94,558,220
000786.jpg,1,353,91,515,215
000787.jpg,1,348,122,429,243
000788.jpg,1,230,174,347,270
000789.jpg,1,343,150,466,250
000790.jpg,1,371,119,505,221
000791.jpg,1,381,122,483,234
000792.jpg,1,360,180,434,274
000793.jpg,1,363,135,412,188
000794.jpg,1,315,61,545,203
000795.jpg,1,537,252,598,316
000796.jpg,1,294,193,418,299
000797.jpg,1,286,251,372,367
000798.jpg,1,303,109,378,172
000799.jpg,1,402,289,485,386
000800.jpg,1,157,85,349,223
000801.jpg,1,534,255,696,441
000802.jpg,1,248,108,414,257
000803.jpg,1,151,113,307,258
000804.jpg,1,500,139,622,269
000805.jpg,1,350,156,493,286
000806.jpg,1,321,140,438,231
000807.jpg,1,204,115,374,257
000808.jpg,1,375,244,492,380
000809.jpg,1,449,250,547,367
000810.jpg,1,293,42,444,142
000811.jpg,1,442,172,618,335
000812.jpg,1,279,188,435,336
000813.jpg,1,374,201,526,369
000814.jpg,1,316,220,493,383
000815.jpg,1,308,131,410,227
000816.jpg,1,252,153,321,222
000817.jpg,1,385,99,513,164
000818.jpg,1,323,139,438,230
000819.jpg,1,421,204,497,292
000820.jpg,1,279,134,408,228
